id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1519299749173620737	1519299749173620737	2022-04-27 12:57:42 UTC	2022-04-27	12:57:42	+0000	1236998428204265472	darma2711	Darma 27		Di Lumajang, AHY Dengarkan Bapak2 Keluhkan Harga Minyak Goreng Naik.   https://t.co/pLoq3zjCAJ  https://t.co/05HX9IOcn1 #DemokratPeduliBerbagi AHY Bersama Rakyat	in	[]	['https://indoissue.com/di-lumajang-ahy-dengarkan-bapak-bapak-keluhkan-harga-minyak-goreng-naik/', 'https://twitter.com/galery_ahy/status/1518195162648031232/photo/1']	[]	0	0	0	['demokratpeduliberbagi']	[]	https://twitter.com/Darma2711/status/1519299749173620737	False		0								[]				
1519296458704683008	1519296458704683008	2022-04-27 12:44:37 UTC	2022-04-27	12:44:37	+0000	1316760543487688704	restualamsayh	Noerdin Metawin		Minyak mahal harga bensin juga mahal haduh harga diri juga harus naik dong	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/restualamsayh/status/1519296458704683008	False		0								[]				
1519285473507946498	1519036102035730432	2022-04-27 12:00:58 UTC	2022-04-27	12:00:58	+0000	3030238059	aliservistv	ali rohmad		"@ari_w07 @KompasTV Alasannya turun apa? Stok melimpah?. Minyak dunia aja kalo harganya anjlok apa yg dilakuin? Mengurangi produksi minyak bersepakat bersama.   Migor pun sama. Jika harga turun, produksi diturunkan atau ""diumpetin"" Hingga harga naik tinggi."	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/aliservistv/status/1519285473507946498	False		0								[{'screen_name': 'ari_w07', 'name': 'Ari Wicaksono', 'id': '359807349'}, {'screen_name': 'KompasTV', 'name': 'KOMPAS TV', 'id': '71436318'}]				
1519284533165965318	1519282051316600832	2022-04-27 11:57:14 UTC	2022-04-27	11:57:14	+0000	1510226688483131395	liez_tiamedi916	𝙻𝙸𝙴𝚉_𝔱𝔦𝔞		@meldawiesyah Naik ga kak harga minyak disana... metvmlm met pusing2 di kota cari baju raya	in	[]	[]	[]	0	0	9	[]	[]	https://twitter.com/Liez_tiaMedi916/status/1519284533165965318	False		0								[{'screen_name': 'meldawiesyah', 'name': 'Meldawiesyah', 'id': '1451304380053929988'}]				
1519271964191330304	1519271964191330304	2022-04-27 11:07:17 UTC	2022-04-27	11:07:17	+0000	16754301	flyin18t	Flyin18T Motorsports		#BahasaMalaysia #BeritaTempatan Harga minyak 28 April-4 Mei — RON 97 naik 13 sen  https://t.co/ScAzF8B7R6  https://t.co/fKuGN1CX83	in	[]	['http://dlvr.it/SPKk5S']	['https://pbs.twimg.com/media/FRWJzNVUUAAA8EA.jpg']	0	0	0	['bahasamalaysia', 'beritatempatan']	[]	https://twitter.com/Flyin18T/status/1519271964191330304	False		1	https://pbs.twimg.com/media/FRWJzNVUUAAA8EA.jpg							[]				
1519270403033554945	1519270403033554945	2022-04-27 11:01:05 UTC	2022-04-27	11:01:05	+0000	47786516	jezlai	Jess		HARGA MINYAK NAIK , TAPI TOL FREE DI HIGHWAY. JADI MANA THE SAVINGS ?  https://t.co/4wxHiNwy7u	in	[]	[]	['https://pbs.twimg.com/media/FRWITxaVkAADKbK.png']	0	0	2	[]	[]	https://twitter.com/jezlai/status/1519270403033554945	False		1	https://pbs.twimg.com/media/FRWITxaVkAADKbK.png							[]				
1519269895636406273	1519269895636406273	2022-04-27 10:59:04 UTC	2022-04-27	10:59:04	+0000	276003527	apanakdikato	Mat Sekilau / Membalak 🪵		Nak raya kasi naik minyak, harga barang lagi lah naik....   Elok la tu melayu isle memerintah, bodo sokmo.🤣   https://t.co/hs7aYKkEID	in	[]	['https://www.kosmo.com.my/2022/04/27/ron97-naik-13-sen-berkuat-kuasa-esok/']	[]	4	13	40	[]	[]	https://twitter.com/apanakdikato/status/1519269895636406273	False		0								[]				
1519265719489384449	1519265719489384449	2022-04-27 10:42:28 UTC	2022-04-27	10:42:28	+0000	1509866636563546114	pasundacom	Pasunda.com		Sehari Jelang Pelarangan Ekspor Minyak Goreng, Harga CPO Merangkak Naik  https://t.co/zhvSgnCym5	in	[]	['https://m.pasunda.com/2022/04/27/sehari-jelang-pelarangan-ekspor-minyak-goreng-harga-cpo-merangkak-naik/']	[]	0	0	0	[]	[]	https://twitter.com/PasundaCom/status/1519265719489384449	False		0								[]				
1519264601745276929	1519264601745276929	2022-04-27 10:38:02 UTC	2022-04-27	10:38:02	+0000	1175777067322884096	proletarsusah	aye aye		"Allah, kenaikan minyak goreng sudah berdampak pada harga mendoan di Cilacap naik 50% :""((("	in	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/proletarsusah/status/1519264601745276929	False		0								[]				
1519262589565702144	1519262581911089152	2022-04-27 10:30:02 UTC	2022-04-27	10:30:02	+0000	153407983	pdi_perjuangan	PDI Perjuangan		Sedangkan untuk harga sembilan bahan pokok, terdapat kenaikan harga pada sejumlah bahan pokok diantaranya, Minyak Goreng Curah sebelumnya Rp20.000/liter mengalami kenaikan menjadi Rp25.000/liter, Minyak Goreng Kemasan sebelumnya Rp30.000/liter naik menjadi Rp35.000/liter.	in	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/PDI_Perjuangan/status/1519262589565702144	False		0								[]				
